seq	headword	pinyin	page	source_file	source_seq
0320	出身	chūshēn	87	manual_supplements.tsv	0279
0321	出神	chū//shén	87	manual_supplements.tsv	0279
0322	出息	chūxi	87	manual_supplements.tsv	0279
0323	出洋相	chūyángxiàng	88	manual_supplements.tsv	0279
0324	初步	chūbù	88	manual_supplements.tsv	0279
0325	除	chú	88	manual_supplements.tsv	0279
0326	处分	chǔfèn	89	manual_supplements.tsv	0279
0327	处境	chǔjìng	89	manual_supplements.tsv	0279
0328	处置	chǔzhì	89	manual_supplements.tsv	0279
0329	储备	chǔbèi	89	manual_supplements.tsv	0279
0330	储存	chǔcún	90	manual_supplements.tsv	0279
0331	储蓄	chǔxù	90	manual_supplements.tsv	0279
0332	触犯	chùfàn	90	manual_supplements.tsv	0279
0333	川流不息	chuānliú-bùxī	91	manual_supplements.tsv	0279
0334	穿越	chuānyuè	91	manual_supplements.tsv	0279
0335	传达	chuándá	91	manual_supplements.tsv	0279
0336	传单	chuándān	91	manual_supplements.tsv	0279
0337	传授	chuánshòu	92	manual_supplements.tsv	0279
0338	船舶	chuánbó	92	manual_supplements.tsv	0279
0339	喘气	chuǎn//qì	92	manual_supplements.tsv	0279
0340	串	chuàn	92	manual_supplements.tsv	0279
0341	床单	chuángdān	93	manual_supplements.tsv	0279
0342	创立	chuànglì	93	manual_supplements.tsv	0279
0343	创新	chuàngxīn	93	manual_supplements.tsv	0279
0344	创业	chuàngyè	94	manual_supplements.tsv	0279
0345	创作	chuàngzuò	94	manual_supplements.tsv	0279
0346	吹牛	chuī//niú	94	manual_supplements.tsv	0279
0347	吹捧	chuīpěng	95	manual_supplements.tsv	0279
0348	炊烟	chuīyān	95	manual_supplements.tsv	0279
0349	垂直		95	0251-0500_index.tsv	0279
0350	锤		95	0251-0500_index.tsv	0280
0351	纯粹		96	0251-0500_index.tsv	0281
0352	纯洁		96	0251-0500_index.tsv	0282
0353	词汇		96	0251-0500_index.tsv	0283
0354	慈善		97	0251-0500_index.tsv	0284
0355	慈祥		97	0251-0500_index.tsv	0285
0356	磁带		97	0251-0500_index.tsv	0286
0357	雌雄		97	0251-0500_index.tsv	0287
0358	次品		98	0251-0500_index.tsv	0288
0359	次序		98	0251-0500_index.tsv	0289
0360	伺候		98	0251-0500_index.tsv	0290
0361	刺		98	0251-0500_index.tsv	0291
0362	从容		99	0251-0500_index.tsv	0292
0363	丛		99	0251-0500_index.tsv	0293
0364	凑合		99	0251-0500_index.tsv	0294
0365	粗鲁		100	0251-0500_index.tsv	0295
0366	窜		100	0251-0500_index.tsv	0296
0367	摧残		100	0251-0500_index.tsv	0297
0368	脆弱		101	0251-0500_index.tsv	0298
0369	搓		101	0251-0500_index.tsv	0299
0370	磋商		101	0251-0500_index.tsv	0300
0371	挫折		101	0251-0500_index.tsv	0301
0372	搭		102	0251-0500_index.tsv	0302
0373	搭档		102	0251-0500_index.tsv	0303
0374	搭配		103	0251-0500_index.tsv	0304
0375	达成		103	0251-0500_index.tsv	0305
0376	答辩		103	0251-0500_index.tsv	0306
0377	答复		104	0251-0500_index.tsv	0307
0378	打包		104	0251-0500_index.tsv	0308
0379	打官司		104	0251-0500_index.tsv	0309
0380	打击		104	0251-0500_index.tsv	0310
0381	打架		105	0251-0500_index.tsv	0311
0382	打量		105	0251-0500_index.tsv	0312
0383	打猎		105	0251-0500_index.tsv	0313
0384	打仗		105	0251-0500_index.tsv	0314
0385	大不了		106	0251-0500_index.tsv	0315
0386	大臣		106	0251-0500_index.tsv	0316
0387	大伙儿		106	0251-0500_index.tsv	0317
0388	大厦		106	0251-0500_index.tsv	0318
0389	大肆		107	0251-0500_index.tsv	0319
0390	大体		107	0251-0500_index.tsv	0320
0391	大意		107	0251-0500_index.tsv	0321
0392	大致		107	0251-0500_index.tsv	0322
0393	歹徒		108	0251-0500_index.tsv	0323
0394	代价		108	0251-0500_index.tsv	0324
0395	代理		108	0251-0500_index.tsv	0325
0396	带领		109	0251-0500_index.tsv	0326
0397	怠慢		109	0251-0500_index.tsv	0327
0398	逮捕		109	0251-0500_index.tsv	0328
0399	担保		109	0251-0500_index.tsv	0329
0400	胆怯		110	0251-0500_index.tsv	0330
0401	诞辰		110	0251-0500_index.tsv	0331
0402	诞生		110	0251-0500_index.tsv	0332
0403	淡季		110	0251-0500_index.tsv	0333
0404	淡水		111	0251-0500_index.tsv	0334
0405	蛋白质		111	0251-0500_index.tsv	0335
0406	当场		111	0251-0500_index.tsv	0336
0407	当初		111	0251-0500_index.tsv	0337
0408	当代		112	0251-0500_index.tsv	0338
0409	当面		112	0251-0500_index.tsv	0339
0410	当前		112	0251-0500_index.tsv	0340
0411	当事人		112	0251-0500_index.tsv	0341
0412	当务之急		113	0251-0500_index.tsv	0342
0413	当心		113	0251-0500_index.tsv	0343
0414	当选		113	0251-0500_index.tsv	0344
0415	党		113	0251-0500_index.tsv	0345
0416	档案		114	0251-0500_index.tsv	0346
0417	档次		114	0251-0500_index.tsv	0347
0418	导弹		114	0251-0500_index.tsv	0348
0419	导航		114	0251-0500_index.tsv	0349
0420	导向		115	0251-0500_index.tsv	0350
0421	岛屿		115	0251-0500_index.tsv	0351
0422	捣乱		115	0251-0500_index.tsv	0352
0423	倒闭		115	0251-0500_index.tsv	0353
0424	盗窃		116	0251-0500_index.tsv	0354
0425	稻谷		116	0251-0500_index.tsv	0355
0426	得不偿失		116	0251-0500_index.tsv	0356
0427	得力		116	0251-0500_index.tsv	0357
0428	得天独厚		117	0251-0500_index.tsv	0358
0429	得罪		117	0251-0500_index.tsv	0359
0430	灯笼		117	0251-0500_index.tsv	0360
0431	登陆		117	0251-0500_index.tsv	0361
0432	登录		118	0251-0500_index.tsv	0362
0433	蹬		118	0251-0500_index.tsv	0363
0434	等候		118	0251-0500_index.tsv	0364
0435	等级		119	0251-0500_index.tsv	0365
0436	瞪		119	0251-0500_index.tsv	0366
0437	堤坝		119	0251-0500_index.tsv	0367
0438	敌视		119	0251-0500_index.tsv	0368
0439	抵达		120	0251-0500_index.tsv	0369
0440	抵抗		120	0251-0500_index.tsv	0370
0441	抵制		120	0251-0500_index.tsv	0371
0442	地步		120	0251-0500_index.tsv	0372
0443	地势		121	0251-0500_index.tsv	0373
0444	地质		121	0251-0500_index.tsv	0374
0445	递增		121	0251-0500_index.tsv	0375
0446	颠簸		121	0251-0500_index.tsv	0376
0447	颠倒		122	0251-0500_index.tsv	0377
0448	典礼		122	0251-0500_index.tsv	0378
0449	典型		122	0251-0500_index.tsv	0379
0450	点缀		122	0251-0500_index.tsv	0380
0451	电源		123	0251-0500_index.tsv	0381
0452	垫		123	0251-0500_index.tsv	0382
0453	惦记		123	0251-0500_index.tsv	0383
0454	奠定		124	0251-0500_index.tsv	0384
0455	叼		124	0251-0500_index.tsv	0385
0456	雕刻		124	0251-0500_index.tsv	0386
0457	雕塑		124	0251-0500_index.tsv	0387
0458	吊		125	0251-0500_index.tsv	0388
0459	调动		125	0251-0500_index.tsv	0389
0460	跌		125	0251-0500_index.tsv	0390
0461	丁		126	0251-0500_index.tsv	0391
0462	叮嘱		126	0251-0500_index.tsv	0392
0463	盯		126	0251-0500_index.tsv	0393
0464	定期		126	0251-0500_index.tsv	0394
0465	定义		127	0251-0500_index.tsv	0395
0466	丢人		127	0251-0500_index.tsv	0396
0467	丢三落四		127	0251-0500_index.tsv	0397
0468	东道主		127	0251-0500_index.tsv	0398
0469	东张西望		128	0251-0500_index.tsv	0399
0470	董事长		128	0251-0500_index.tsv	0400
0471	动荡		128	0251-0500_index.tsv	0401
0472	动机		128	0251-0500_index.tsv	0402
0473	动静		129	0251-0500_index.tsv	0403
0474	动力		129	0251-0500_index.tsv	0404
0475	动脉		129	0251-0500_index.tsv	0405
0476	动身		130	0251-0500_index.tsv	0406
0477	动手		130	0251-0500_index.tsv	0407
0478	动态		130	0251-0500_index.tsv	0408
0479	动员		131	0251-0500_index.tsv	0409
0480	冻结		131	0251-0500_index.tsv	0410
0481	栋		131	0251-0500_index.tsv	0411
0482	兜		131	0251-0500_index.tsv	0412
